Tooth #,CH (µm),FABL (µm),BW (µm),PDM (dt/mm),ADM (µm),
,Crown Height,Fore Aft Basal Length,Basal Width,Posterior denticles per millimeter,Posterior denticles per millimeter,
Average,,,,,,
HRS95000,2699,2391,839,4,NA,
HRS95001,3055,2331,871,4,NA,
HRS95002,3937,2588,920,3,NA,
HRS95003,3487,2611,972,2.80,NA,
HRS95004,3314,2817,865,3.00,NA,
HRS95005,3473,2463,981,2.20,NA,
HRS95006,3297,2239,841,2.84,NA,
HRS95007,2502,2255,639,3.50,NA,
HRS95008,3428,2768,841,3.36,NA,
HRS95009,3776,2133,1057,1.89,NA,
HRS95010,3791,3013,1002,2.76,NA,
HRS95011,4692,3082,1123,1.86,NA,
HRS95012,2995,2486,811,3.36,NA,
HRS95013,3292,2442,881,2.80,NA,
HRS95014,3222,2235,644,3.32,NA,
HRS95015,2879,2149,896,3.07,NA,
HRS95016,2346,2354,725,3.72,NA,
HRS95017,2356,2048,675,3.94,NA,
HRS95018,3771,2914,962,2.70,NA,
HRS95019,2381,2225,670,3.64,NA,
HRS95020,2919,1832,826,3.56,NA,
HRS95021,3121,2119,806,3.70,NA,
HRS95022,2230,2063,629,4.53,NA,
HRS95023,3167,2899,916,3.59,NA,
HRS95024,2734,1968,700,3.63,NA,
HRS95025,2653,1988,770,3.36,NA,
HRS95026,3232,2343,951,2.64,NA,
HRS95027,2180,2033,720,3.44,NA,Eroded partial
HRS95028,3637,2347,926,2.22,NA,
HRS95029,4264,3068,1027,2.53,NA,"Too big.  Wrong curvature. Thin, longer"
HRS95030,3469,2536,860,2.95,NA,
HRS95031,3177,2229,780,3.07,NA,
HRS95032,2819,2295,740,3.66,NA,
HRS95033,3459,2048,957,1.98,NA,
HRS95034,2925,2063,836,3.50,NA,
HRS95035,2563,2074,770,3.50,NA,**Odd Shape
HRS95036,2885,1912,896,4.45,NA,
HRS95037,3715,2330,1128,1.64,NA,
HRS95038,3076,2053,806,2.86,NA,partially weathered; Like 039
HRS95039,2527,2008,828,3.48,NA,
HRS95040,3801,2753,972,2.81,NA,
HRS95041,3162,2189,659,3.01,NA,
HRS95042,2724,2043,680,3.57,NA,
HRS95043,3328,2214,901,1.81,NA,
HRS95044,3333,2235,941,3.16,NA,
